시군구,경도,위도,상해정도 정보,상해정도 갯수_x,상해정도 갯수_y
경기도 성남시 수정구 태평동,127.134346407,37.445031852,경상: 23<br>중상: 5,5,5
경기도 성남시 중원구 금광동,127.159518104,37.444126352,경상: 10<br>부상신고: 2<br>중상: 3,3,3
경기도 성남시 중원구 도촌동,127.152768327,37.416517412,경상: 1<br>부상신고: 3<br>중상: 5,1,1
경기도 성남시 중원구 상대원동,127.170544263,37.442152508,경상: 20<br>부상신고: 4<br>중상: 6,15,15
경기도 성남시 중원구 성남동,127.133066079,37.433773898,경상: 8<br>부상신고: 2<br>중상: 4,1,1
경기도 성남시 중원구 여수동,127.128184075,37.41740859,경상: 1<br>중상: 1,6,6
경기도 성남시 중원구 은행동,127.171314981,37.462342618,경상: 8<br>부상신고: 1<br>사망: 1<br>중상: 2,16,16
경기도 성남시 중원구 중앙동,127.149447864,37.435867083,경상: 2<br>부상신고: 1<br>중상: 2,3,3
경기도 성남시 중원구 하대원동,127.130617634,37.428698803,경상: 6<br>부상신고: 1<br>중상: 4,8,8
경기도 수원시 권선구 고색동,126.976423886,37.252388122,경상: 6<br>부상신고: 1<br>중상: 1,2,2
경기도 수원시 권선구 곡반정동,127.031458597,37.24050777,경상: 6<br>중상: 4,5,5
경기도 수원시 권선구 구운동,126.97146995,37.27712319,경상: 8<br>중상: 2,1,1
경기도 수원시 권선구 권선동,127.024604685,37.257752207,경상: 28<br>부상신고: 5<br>중상: 10,2,2
경기도 수원시 권선구 금곡동,126.952164948,37.27272821,경상: 10<br>부상신고: 4<br>중상: 6,1,1
경기도 수원시 권선구 당수동,126.941781996,37.291588262,경상: 2<br>부상신고: 1<br>중상: 1,2,2
경기도 수원시 권선구 서둔동,126.982870101,37.270810186,경상: 5<br>부상신고: 1<br>중상: 4,1,1
경기도 수원시 권선구 세류동,127.004308246,37.259875776,경상: 25<br>부상신고: 2<br>중상: 7,5,5
경기도 수원시 권선구 오목천동,126.966940999,37.246570905,경상: 7<br>중상: 2,1,1
경기도 수원시 권선구 탑동,126.971640503,37.272554491,경상: 13<br>중상: 5,18,18
경기도 수원시 권선구 호매실동,126.957064977,37.2662411,경상: 9<br>부상신고: 2<br>중상: 9,3,3
경기도 수원시 영통구 망포동,127.055574904,37.239632973,경상: 7<br>부상신고: 4<br>중상: 6,11,11
경기도 수원시 영통구 매탄동,127.042180623,37.273076385,경상: 22<br>중상: 6,9,9
경기도 수원시 영통구 신동,127.044660614,37.24989888,중상: 3,5,5
경기도 수원시 영통구 영통동,127.074368497,37.260666565,경상: 12<br>부상신고: 1<br>사망: 1<br>중상: 9,7,7
경기도 수원시 영통구 원천동,127.053262422,37.273488805,경상: 4<br>부상신고: 1<br>중상: 2,1,1
경기도 수원시 영통구 이의동,127.043001034,37.310673163,경상: 5<br>부상신고: 3<br>중상: 3,2,2
경기도 수원시 영통구 하동,127.084066357,37.289915141,경상: 10<br>중상: 2,12,12
경기도 수원시 장안구 송죽동,127.000153376,37.304243796,경상: 8<br>부상신고: 2<br>중상: 3,1,1
경기도 수원시 장안구 연무동,127.029666687,37.294988651,경상: 6<br>부상신고: 2<br>중상: 1,1,1
경기도 수원시 장안구 영화동,127.013929585,37.293165542,경상: 16<br>중상: 7,18,18
경기도 수원시 장안구 율전동,126.965223894,37.303024467,경상: 1<br>부상신고: 1<br>중상: 6,1,1
경기도 수원시 장안구 정자동,127.000146142,37.291376922,경상: 40<br>부상신고: 9<br>중상: 14,5,5
경기도 수원시 장안구 조원동,127.014847587,37.29729384,경상: 15<br>부상신고: 1<br>중상: 8,3,3
경기도 수원시 장안구 천천동,126.973483065,37.301479119,경상: 11<br>중상: 5,2,2
경기도 수원시 장안구 파장동,126.997419533,37.310318871,경상: 1<br>부상신고: 2<br>중상: 6,3,3
경기도 수원시 팔달구 고등동,127.001130374,37.273453417,경상: 6<br>중상: 1,5,5
경기도 수원시 팔달구 남수동,127.019029246,37.278591566,경상: 2,1,1
경기도 수원시 팔달구 남창동,127.015796595,37.277977981,경상: 1,3,3
경기도 수원시 팔달구 매산로2가,127.006470242,37.267082148,경상: 1,3,3
경기도 수원시 팔달구 매산로3가,127.009638804,37.274658312,경상: 2,4,4
